,high_pitch_val,low_pitch_val,low_pitch_val_ts12,low_pitch_val_ts16,high_pitch_val_ts12,high_pitch_val_ts16,synth_val,synth_val_ts
0,0.49218391503074244,0.7602850864182185,11,14,8,10,0.0,1
1,0.4601678828966581,0.7137268415977409,10,13,8,9,0.05606504960809896,1
2,0.4281518507625738,0.6671685967772633,10,13,7,9,0.11213009921619792,1
3,0.39613581862848946,0.6349096555004848,10,12,7,9,0.16819514882429687,2
4,0.36411978649440513,0.6136501784880903,9,12,7,8,0.22426019843239584,2
5,0.3321037543603208,0.5849409734585075,9,12,6,8,0.2803252480404948,2
6,0.30008772222623653,0.5065669149810018,9,11,6,7,0.33639029764859374,3
7,0.2680716900921522,0.42819285650349603,8,10,6,7,0.39245534725669273,3
8,0.23605565795806788,0.3595769461464183,7,9,6,7,0.44852039686479167,4
9,0.20403962582398355,0.2952302255920277,7,8,5,6,0.5045854464728906,4
10,0.17202359368989922,0.2312018258218803,6,7,5,6,0.528683872038233,4
11,0.1400075615558149,0.16807533494042196,6,7,5,5,0.5367989855821969,4
12,0.10799152942173063,0.10494884405896363,5,6,4,5,0.5449140991261607,4
13,0.0759754972876463,0.0685664370263003,5,5,4,4,0.5530292126701247,4
14,0.043959465153561916,0.03781436343548863,5,5,4,4,0.5611443262140886,4
15,0.04081950335687892,0.016026756561342472,5,5,4,4,0.5692594397580525,4
16,0.03767954156019593,0.008183875690898287,5,5,4,4,0.5773745533020165,5
17,0.034539579763512934,0.0003409948204541012,5,5,4,4,0.5854896668459804,5
18,0.03139961796682994,0.012249300746637168,5,5,4,4,0.5936047803899442,5
19,0.028259656170146946,0.025055387890848768,5,5,4,4,0.5944669017903933,5
20,0.025119694373463952,0.04845423883627862,5,5,4,4,0.5808230389038125,5
21,0.021979732576780958,0.08156312326615858,5,5,4,4,0.5671791760172318,4
22,0.018839770780097964,0.11333272701576384,5,6,4,4,0.553535313130651,4
23,0.01569980898341497,0.13103988362248448,6,6,4,4,0.5398914502440703,4
24,0.012559847186731976,0.14874704022920512,6,6,4,4,0.5262475873574894,4
25,0.009419885390048982,0.1792897573796828,6,7,4,4,0.5126037244709087,4
26,0.006279923593365988,0.2166781068201643,6,7,4,4,0.4989598615843279,4
27,0.003139961796682994,0.2559509159673926,7,8,4,4,0.48531599869774716,4
28,0.0,0.30200778005890944,7,8,4,4,0.4716721358111664,4
29,0.07142857142857142,0.34806464415042626,7,9,4,4,0.5282786926885414,4
30,0.14285714285714285,0.3977598125920329,8,9,5,5,0.5848852495659165,5
31,0.21428571428571427,0.4484656211308868,8,10,5,6,0.6414918064432915,5
32,0.2857142857142857,0.49976449290004066,8,10,6,7,0.6980983633206664,5
33,0.3571428571428571,0.5521753582260072,9,11,7,8,0.7547049201980415,6
34,0.42857142857142855,0.6045862235519737,9,12,7,9,0.8113114770754165,6
35,0.5,0.61545823528911,9,12,8,10,0.8679180339527914,7
36,0.5714285714285714,0.622374165732072,9,12,9,11,0.9245245908301665,7
37,0.6428571428571428,0.6079701884363372,9,12,9,12,0.9811311477075415,7
38,0.7142857142857142,0.5703081299711149,9,11,10,13,0.9728787836008045,7
39,0.7857142857142857,0.5327696821572698,9,11,11,14,0.932196959002011,7
40,0.8571428571428571,0.4979506686737247,8,10,11,15,0.8915151344032176,7
41,0.9285714285714285,0.46313165519017946,8,10,12,16,0.8508333098044242,6
42,1.0,0.44456997737710885,8,10,13,17,0.8101514852056307,6
43,0.9463482457783186,0.43645944392362923,8,10,12,16,0.7694696606068373,6
44,0.8926964915566371,0.4374654047393017,8,10,12,15,0.7287878360080439,6
45,0.8390447373349557,0.48177471333344696,8,10,11,14,0.6881060114092504,5
46,0.7853929831132742,0.5260840219275923,9,11,11,14,0.647424186810457,5
47,0.7317412288915928,0.6128286432455146,9,12,10,13,0.6264501694018728,5
48,0.6780894746699114,0.714550433760064,10,13,10,12,0.6448917663737082,5
49,0.62443772044823,0.8121492411576078,11,14,9,12,0.6633333633455435,5
50,0.5707859662265485,0.9003240871448528,12,15,9,11,0.6817749603173788,5
51,0.5171342120048671,0.9884989331320979,12,16,8,10,0.7002165572892142,5
52,0.46348245778318564,0.9860111827342632,12,16,8,10,0.7186581542610495,6
53,0.4098307035615042,0.969924042878666,12,16,7,9,0.7370997512328847,6
54,0.35617894933982286,0.9384117003656552,12,16,7,8,0.7555413482047201,6
55,0.3025271951181414,0.8868465943980071,12,15,6,7,0.7739829451765554,6
