,high_pitch_val,high_pitch_val_ts,low_pitch_val,low_pitch_val_ts,synth_val,synth_val_ts
0,0.49218391503074244,8,0.7602850864182185,11,0.0,1
1,0.4601678828966581,8,0.7137268415977409,11,0.05606504960809896,1
2,0.4281518507625738,7,0.6671685967772633,11,0.11213009921619792,1
3,0.39613581862848946,7,0.6349096555004848,10,0.16819514882429687,2
4,0.36411978649440513,7,0.6136501784880903,10,0.22426019843239584,2
5,0.3321037543603208,6,0.5849409734585075,10,0.2803252480404948,2
6,0.30008772222623653,6,0.5065669149810018,9,0.33639029764859374,3
7,0.2680716900921522,6,0.42819285650349603,8,0.39245534725669273,3
8,0.23605565795806788,6,0.3595769461464183,8,0.44852039686479167,4
9,0.20403962582398355,5,0.2952302255920277,7,0.5045854464728906,4
10,0.17202359368989922,5,0.2312018258218803,7,0.528683872038233,4
11,0.1400075615558149,5,0.16807533494042196,6,0.5367989855821969,4
12,0.10799152942173063,4,0.10494884405896363,5,0.5449140991261607,4
13,0.0759754972876463,4,0.0685664370263003,5,0.5530292126701247,4
14,0.043959465153561916,4,0.03781436343548863,5,0.5611443262140886,4
15,0.04081950335687892,4,0.016026756561342472,5,0.5692594397580525,4
16,0.03767954156019593,4,0.008183875690898287,5,0.5773745533020165,5
17,0.034539579763512934,4,0.0003409948204541012,5,0.5854896668459804,5
18,0.03139961796682994,4,0.012249300746637168,5,0.5936047803899442,5
19,0.028259656170146946,4,0.025055387890848768,5,0.5944669017903933,5
20,0.025119694373463952,4,0.04845423883627862,5,0.5808230389038125,5
21,0.021979732576780958,4,0.08156312326615858,5,0.5671791760172318,4
22,0.018839770780097964,4,0.11333272701576384,6,0.553535313130651,4
23,0.01569980898341497,4,0.13103988362248448,6,0.5398914502440703,4
24,0.012559847186731976,4,0.14874704022920512,6,0.5262475873574894,4
25,0.009419885390048982,4,0.1792897573796828,6,0.5126037244709087,4
26,0.006279923593365988,4,0.2166781068201643,6,0.4989598615843279,4
27,0.003139961796682994,4,0.2559509159673926,7,0.48531599869774716,4
28,0.0,4,0.30200778005890944,7,0.4716721358111664,4
29,0.07142857142857142,4,0.34806464415042626,8,0.5282786926885414,4
30,0.14285714285714285,5,0.3977598125920329,8,0.5848852495659165,5
31,0.21428571428571427,5,0.4484656211308868,9,0.6414918064432915,5
32,0.2857142857142857,6,0.49976449290004066,9,0.6980983633206664,5
33,0.3571428571428571,7,0.5521753582260072,9,0.7547049201980415,6
34,0.42857142857142855,7,0.6045862235519737,10,0.8113114770754165,6
35,0.5,8,0.61545823528911,10,0.8679180339527914,7
36,0.5714285714285714,9,0.622374165732072,10,0.9245245908301665,7
37,0.6428571428571428,9,0.6079701884363372,10,0.9811311477075415,7
38,0.7142857142857142,10,0.5703081299711149,10,0.9728787836008045,7
39,0.7857142857142857,11,0.5327696821572698,9,0.932196959002011,7
40,0.8571428571428571,11,0.4979506686737247,9,0.8915151344032176,7
41,0.9285714285714285,12,0.46313165519017946,9,0.8508333098044242,6
42,1.0,13,0.44456997737710885,9,0.8101514852056307,6
43,0.9463482457783186,12,0.43645944392362923,8,0.7694696606068373,6
44,0.8926964915566371,12,0.4374654047393017,8,0.7287878360080439,6
45,0.8390447373349557,11,0.48177471333344696,9,0.6881060114092504,5
46,0.7853929831132742,11,0.5260840219275923,9,0.647424186810457,5
47,0.7317412288915928,10,0.6128286432455146,10,0.6264501694018728,5
48,0.6780894746699114,10,0.714550433760064,11,0.6448917663737082,5
49,0.62443772044823,9,0.8121492411576078,12,0.6633333633455435,5
50,0.5707859662265485,9,0.9003240871448528,13,0.6817749603173788,5
51,0.5171342120048671,8,0.9884989331320979,13,0.7002165572892142,5
52,0.46348245778318564,8,0.9860111827342632,13,0.7186581542610495,6
53,0.4098307035615042,7,0.969924042878666,13,0.7370997512328847,6
54,0.35617894933982286,7,0.9384117003656552,13,0.7555413482047201,6
55,0.3025271951181414,6,0.8868465943980071,12,0.7739829451765554,6
